Source:,C:\Users\Drew Maatman\Documents\KiCad Projects\Projects\VFD_Clock\rev_b\hdw\Logic_Board\VFD_Clock\VFD_Clock.sch,,,,,,,,,,,,,,,,,,
Date:,10/18/2020 13:45,,,,,,,,,,,,,,,,,,
Tool:,Eeschema (5.1.4)-1,,,,,,,,,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value.py,,,,,,,,,,,,,,,,,,
Component Count:,400,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Individual Components:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Item,Qty,Reference(s),Value,LibPart,Footprint,Datasheet,Ampacity,Baud_Rate,Config,Data_Length,Dielectric,Digi-Key PN,Flow_Control,Parity,Stop_Bits,Tolerance,Voltage,Wattage,display_footprint
,,C2601,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C2602,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C2603,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,399-6856-1-ND,,,,,50V,,603
,,C2801,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2802,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2807,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2808,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2901,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2904,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2905,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
,,C2906,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0603,,,,,,X7R,311-1344-1-ND,,,,,50V,,603
,,C2907,4.7uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,1276-2970-1-ND,,,,,16V,,805
,,C3001,0.1uF,Custom_Library:C_Custom,Capacitors_SMD:C_0805,,,,,,X7R,490-4789-1-ND,,,,,100V,,805
,,C3002,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,C3003,22uF,Custom_Library:C_Custom,Capacitors_SMD:C_1206,,,,,,X7R,1276-3148-1-ND,,,,,10V,,1206
,,D201,24V,Device:D_TVS_ALT,Diodes_SMD:D_SMA,~,,,,,,SMAJ24CALFCT-ND,,,,,,,
,,D1001,MBR0580,Diode:MBR0580,Diode_SMD:D_SOD-123,http://www.mccsemi.com/up_pdf/MBR0520~MBR0580(SOD123).pdf,,,,,,MBR0580S1-7DICT-ND,,,,,,,
,,D1301,BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,,,,,,,,
,,D1302,BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,,,,,,,,
,,D1303,BAT48JFILM,Diode:BAT48JFILM,Diode_SMD:D_SOD-323,www.st.com/resource/en/datasheet/bat48.pdf,,,,,,,,,,,,,
